PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition
144,22406065,2385601,Active,16,,,13.31
145,22406679,4175307,Active,24,,,19.74
146,22407115,3929515,Active,24,,,19.6
147,22407286,3592691,Active,41,,,33.64
148,22410511,2472898,Active,15,,,12.76
149,22411669,4187185,Active,15,,,12.46
150,22413123,215090,Active,15,,,12.66
151,22413662,87247,Active,21,,,17.34
152,22416830,5349620,Active,15,,,12.34
153,24779389,135435911,Active,100,,,80.36
154,24779835,2083279,Active,21,,,17.29
155,24779881,6904494,Active,77,,,61.99
156,24780397,2870196,Active,16,,,13.24
157,24782482,3162837,Active,47,,,38.48
158,24782859,4182036,Active,21,,,17.02
159,24785898,6878045,Active,19,,,15.35
160,24786931,736374,Active,15,,,12.38
161,24788185,1312344,Active,16,,,13.13
162,24788424,906542,Active,20,,,16.31
163,24791772,2452051,Active,16,,,13.26
164,24793373,1214257,Active,16,,,13.51
165,24795199,951610,Active,16,,,13.64
166,24796857,972394,Active,19,,,15.69
167,24801241,1069254,Active,15,,,12.35
168,24801258,677475,Active,43,,,34.66
169,24801895,3178307,Active,24,,,19.51
170,24801925,3110581,Active,21,,,17.48
171,24802059,3198832,Active,34,,,27.54
172,24802454,2870396,Active,16,,,12.88
173,24805460,843322,Active,16,,,12.96
174,24805687,761840,Active,71,,,57.21
175,24806127,3211933,Active,17,,,13.8
176,24806235,1250233,Active,17,,,14.16
177,24806899,2870407,Active,25,,,20.76
178,24807634,728528,Active,35,,,28.91
179,24807778,1092464,Active,17,,,13.94
180,24808040,765284,Active,41,,,33.51
181,24808289,3198732,Active,57,,,45.92
182,24809064,1537038,Active,31,,,25.07
183,24809521,3129448,Active,15,,,12.43
184,24814982,2149567,Active,15,,,12.78
185,24816245,2145491,Active,22,,,17.77
186,24817774,3794723,Active,17,,,13.8
187,24818742,211186,Active,20,,,16.21
188,24821556,16195219,Active,16,,,13.61
189,24822513,3128209,Active,18,,,14.58
190,24823588,6246323,Active,16,,,12.94
191,24824092,73157,Active,18,,,15.2
192,24825547,2514618,Active,15,,,12.46
193,24825651,2412504,Active,41,,,33
194,24826139,2352096,Active,25,,,20.86
195,24826363,2497380,Active,49,,,39.48
196,24826882,9643441,Active,19,,,15.35
197,24827279,3992501,Active,16,,,13.14
198,24827537,9661081,Active,20,,,16.26
199,24828116,2064069,Active,15,,,12.55
200,24828840,6403417,Active,27,,,22.16
201,24829329,2078638,Active,19,,,15.76
202,24829925,16196190,Active,39,,,31.35
203,24830028,2104090,Active,17,,,14.04
204,24830836,2515806,Active,29,,,23.65
205,24831327,2526861,Active,24,,,19.84
206,24834438,2449860,Active,57,,,45.89
207,24834913,2356903,Active,15,,,12.71
208,24836082,1177253,Active,29,,,23.42
209,24837005,2102546,Active,33,,,27
210,24838008,4836362,Active,15,,,12.53
211,24838050,2443805,Active,51,,,41.26
212,24838099,4542341,Active,15,,,12.68
213,24839596,2078229,Active,16,,,13.66
214,26657548,2416356,Active,51,,,41.26
215,26660230,3473830,Active,17,,,14.13
216,26661139,135845989,Active,15,,,12.59
217,26661282,2558401,Active,77,,,62.15
218,26661844,2017227,Active,15,,,12.85
219,26664947,54677920,Active,16,,,13.24
220,26665357,16682428,Active,20,,,16.28
221,26665420,9666324,Active,15,,,12.57
222,26665773,1864299,Active,16,,,13.34
223,26666021,16682477,Active,16,,,12.96
224,26666406,1420934,Active,36,,,29.33
225,26669298,6880919,Active,16,,,13.13
226,26669765,2083510,Active,40,,,32.27
227,26669775,2458897,Active,15,,,12.85
228,26670278,2410199,Active,16,,,13.59
229,26670673,601670,Active,20,,,16.52
230,26719823,5717,Active,19,,,15.27
231,26719853,4418,Active,20,,,16.83
232,26724295,135684269,Active,19,,,15.29
233,26725683,16745830,Active,27,,,21.93
234,26726865,2815268,Active,16,,,13.59
235,26731351,5713900,Active,17,,,14.25
236,47196538,887990,Active,25,,,20.2
237,47198475,2845421,Active,16,,,13.49
238,47200678,676085,Active,20,,,16.41
239,47200726,2282752,Active,23,,,19.25
240,47200946,728514,Active,18,,,14.9
241,47201907,2971444,Active,21,,,17.19
242,47202119,135472652,Active,36,,,29.19
243,47202232,9585555,Active,17,,,13.96
244,47202252,2965851,Active,16,,,13.62
245,47202254,2966254,Active,16,,,13.07
246,47203174,2898168,Active,15,,,12.64
247,47203184,708625,Active,16,,,12.91
248,47203540,3158067,Active,15,,,12.59
249,47203886,2943685,Active,16,,,13.41
250,47204458,5302421,Active,15,,,12.54
251,49640940,1154427,Active,20,,,16.17
252,49641199,1105927,Active,16,,,13.36
253,49643534,3192987,Active,46,,,37.74
254,49645065,3152897,Active,19,,,15.73
255,49645418,2853037,Active,16,,,13.16
256,49645793,17584476,Active,71,,,57.64
257,49645946,24747373,Active,17,,,13.94
258,49646101,17583883,Active,43,,,34.86
259,49646259,24747455,Active,17,,,13.85
260,49647098,4437603,Active,68,,,54.68
261,49647116,1831132,Active,16,,,13.26
262,49647126,9636511,Active,96,,,77.3
263,49648268,17582529,Active,29,,,23.41
264,49649061,3634352,Active,17,,,13.87
265,49649145,1009382,Active,17,,,14.11
266,49665176,17580184,Active,66,,,53.67
267,49665966,5928454,Active,56,,,45.71
268,49667058,24761147,Active,16,,,12.99
269,49667379,24761173,Active,15,,,12.35
270,49667911,4621376,Active,24,,,19.34
271,49668045,24761221,Active,20,,,16.77
272,49668659,675749,Active,17,,,13.91
273,49669425,1224165,Active,16,,,13.65
274,49669782,741948,Active,24,,,19.37
275,49669969,3912197,Active,27,,,21.93
276,49670203,135403580,Active,20,,,16.18
277,49670685,2952090,Active,24,,,19.83
278,49670811,135451179,Active,36,,,29.16
279,49670964,20903731,Active,19,,,15.64
280,49671052,2057118,Active,42,,,34.34
281,49671558,4794522,Active,16,,,13.06
282,49671941,2815694,Active,26,,,21.3
283,49672916,740914,Active,15,,,12.54
284,49672919,7996726,Active,16,,,12.97
285,49673799,2384236,Active,20,,,16.37
286,49674172,6903089,Active,27,,,21.72
287,49674240,5114648,Active,17,,,13.73
288,49674290,6268409,Active,19,,,15.63
289,49674413,4961646,Active,58,,,47.36
290,49675101,2333509,Active,16,,,13
291,49675892,3475954,Active,21,,,17.23
292,49675988,3859741,Active,69,,,55.62
293,49675989,3811656,Active,92,,,74.27
294,49676124,2440506,Active,18,,,14.58
295,49676706,4586109,Active,15,,,12.46
296,49676971,4868361,Active,40,,,32.23
297,49677473,2406331,Active,21,,,17.06
298,49677939,2530053,Active,28,,,22.7
299,49679664,710241,Active,16,,,13.02
300,49679728,24762071,Active,88,,,71.05
301,49680100,2396278,Active,15,,,12.68
302,49680425,3555173,Active,76,,,61.36
303,49713840,24789267,Active,17,,,13.93
304,49713849,24789276,Active,15,,,12.68
305,49714295,20862125,Active,18,,,14.5
306,49714366,24789460,Active,15,,,12.81
307,49714426,24789481,Active,18,,,15.02
308,49714442,24789497,Active,15,,,12.68
309,49714449,24789504,Active,17,,,14
310,49715318,24789625,Active,16,,,13.26
311,49715986,24789769,Active,16,,,13.17
312,49716137,9609431,Active,15,,,12.64
313,49716183,5824722,Active,17,,,13.82
314,49717003,4917203,Active,51,,,41.07
315,49717616,4189659,Active,16,,,13.32
316,49717805,4438422,Active,15,,,12.57
317,49717936,1304219,Active,19,,,15.94
318,49718261,24790041,Active,20,,,16.27
319,49718270,24790050,Active,16,,,13.51
320,49718513,24790237,Active,17,,,14.24
321,49718735,24790407,Active,40,,,32.55
322,49718804,2734449,Active,15,,,12.38
323,49719044,807412,Active,84,,,68.3
324,49719738,22583081,Active,15,,,12.39
325,49720560,24791295,Active,16,,,13.19
326,49720571,24791306,Active,16,,,13.13
327,49721405,22515899,Active,28,,,22.56
328,49721504,4911266,Active,16,,,13.04
329,49722098,16017527,Active,15,,,12.42
330,49722141,135693201,Active,16,,,13.13
331,49722416,16034541,Active,15,,,12.71
332,49723031,22551764,Active,16,,,12.86
333,49723172,16017324,Active,15,,,12.74
334,49724079,16019819,Active,16,,,13.14
335,49724688,4944777,Active,15,,,12.57
336,49724780,7254819,Active,16,,,12.88
337,49725413,135531840,Active,15,,,12.73
338,49725532,1936560,Active,15,,,12.28
339,49726373,3191638,Active,19,,,15.32
340,49726948,2939288,Active,57,,,45.85
341,49727024,3191502,Active,21,,,17.6
342,49728915,3196510,Active,20,,,16.15
343,49730186,3196508,Active,93,,,74.92
344,49730483,9596269,Active,19,,,15.9
345,49731510,4137407,Active,17,,,14.24
346,49731701,54688584,Active,15,,,12.83
347,49731854,5824720,Active,20,,,16.77
348,49731974,24792919,Active,16,,,13.35
349,49732374,2420336,Active,15,,,12.3
350,49733167,3221960,Active,19,,,15.43
351,49733419,3196509,Active,63,,,50.76
352,49733660,3191728,Active,37,,,30.51
353,49733661,3191469,Active,44,,,35.42
354,49733682,5756577,Active,17,,,14.21
355,49735817,6023693,Active,19,,,15.85
356,49736236,16007641,Active,18,,,14.97
357,49736472,22518136,Active,15,,,12.56
358,49737169,22517479,Active,16,,,13.2
359,49737517,6460643,Active,15,,,12.55
360,49816184,16404473,Active,15,,,12.46
361,49816232,1891999,Active,58,,,47.3
362,49816250,2915854,Active,15,,,12.31
363,49816909,6470683,Active,15,,,12.76
364,49817047,6470895,Active,16,,,13.1
365,49817407,4679126,Active,15,,,12.4
366,49818186,24817254,Active,41,,,33.21
367,49818187,24817255,Active,37,,,29.8
368,49818189,24817257,Active,57,,,46.47
369,49818195,24817263,Active,33,,,26.8
370,49819114,2958977,Active,17,,,14.17
371,49819897,4900532,Active,19,,,15.77
372,49819958,4907806,Active,15,,,12.41
373,49819959,4910360,Active,15,,,12.38
374,49820287,9662819,Active,15,,,12.4
375,49820367,9637339,Active,17,,,13.95
376,49821624,1768585,Active,17,,,13.78
377,49822005,4220289,Active,15,,,12.77
378,49825353,2229132,Active,15,,,12.27
379,49825566,2993330,Active,15,,,12.83
380,49825630,6465235,Active,16,,,12.88
381,49825790,986562,Active,15,,,12.31
382,49825925,5897880,Active,22,,,18.1
383,49826085,2193552,Active,17,,,14.28
384,49826445,2951459,Active,15,,,12.6
385,49826549,2949086,Active,16,,,13.65
386,49826802,1949127,Active,21,,,17
387,49826923,17379494,Active,16,,,13.3
388,49826994,1295575,Active,16,,,13.39
389,49828046,24819855,Active,15,,,12.84
390,49828469,24819986,Active,32,,,26.49
391,49828536,6236746,Active,17,,,13.88
392,49828715,24820042,Active,15,,,12.56
393,49828719,135484279,Active,17,,,13.71
394,49829154,6225958,Active,16,,,13.53
395,49829348,24820087,Active,15,,,12.41
396,50085534,2739954,Active,21,,,17.57
397,50085563,2814640,Active,15,,,12.25
398,50085624,2808586,Active,15,,,12.62
399,50086381,9611292,Active,17,,,13.99
400,50086393,2813012,Active,16,,,13.11
401,50086403,2815848,Active,16,,,13.62
402,50086550,2814665,Active,15,,,12.37
403,51086478,16825531,Active,16,,,12.87
404,51090130,16807543,Active,15,,,12.59
405,51090162,16812389,Active,18,,,14.79
