smiles	title
CC(C)CC1=CC=C(C=C1)[C@@H](C)C(=O)NCCO	(2R)-N-(2-Hydroxyethyl)-2-[4-(2-methylpropyl)phenyl]propanamide
C[C@@H](C(=O)NC1=NC=CC(C)=C1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	Piketoprofen, (-)-
ClC1=C(Cl)C(=CC=C1)N1CCN(CCCCOC2=CC3=C(CCC(=O)N3)C=C2)CC1	Aripiprazole
ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1	Vorinostat
COC1=C(OC2=C(OCCO)N=C(N=C2NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)C2=NC=CC=N2)C=CC=C1	Bosentan
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	Rufinamide
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1	Felbamate
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F	Sitagliptin
NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1	
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=N1	Pazopanib
C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O	l-Alanyl-l-glutamine
NC1=NN=C(C(N)=N1)C1=CC=CC(Cl)=C1Cl	Lamotrigine
CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N	Febuxostat
CCCCNC1=CC(=CC(=C1OC1=CC=CC=C1)S(N)(=O)=O)C(O)=O	Bumetanide
O[C@@H](CC[C@@H]1[C@H](N(C1=O)C1=CC=C(F)C=C1)C1=CC=C(O)C=C1)C1=CC=C(F)C=C1	Ezetimibe
CN1[C@@H](CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O	(3S)-6-Chloro-3-(chloromethyl)-2-methyl-1,1-dioxo-3,4-dihydro-1lambda6,2,4-benzothiadiazine-7-sulfonamide
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3	Artemether
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC(=CC=N3)C3=CN=CC=C3)=C(C)C=C2)CC1	Imatinib
COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC2CCCC2)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C1=C(C)C=CC=C1	Zafirlukast
CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1	Flumazenil
NC(=O)N[C@@H](CCC(O)=O)C(O)=O	Carglumic acid
CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1	Trioxsalen
COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1	Gefitinib
CN1N=NC2=C(N=CN2C1=O)C(N)=O	Temozolomide
CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1	Raltegravir
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1	Enoxacin
[Cl-].C[N+](C)(C)CCOC(N)=O	Carbachol
CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Probucol
FC(F)O[C@@H](Cl)C(F)(F)F	(S)-(+)-Isoflurane
CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1	Amprenavir
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F)C2=NC(Cl)=N1	Clofarabine
Cl.CN(C)CCC=C1C2=C(COC3=C1C=CC=C3)C=CC=C2	Doxepin HCl
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	Acetohexamide
FC1=C(F)C=C(CN2CCC(CC2)NC2=NN=C(C=C2)C(F)(F)F)C=C1	3-Pyridazinamine, N-(1-((3,4-difluorophenyl)methyl)-4-piperidinyl)-6-(trifluoromethyl)-
O=C(C1CCCCC1)N1C[C@@H]2N(CCC3=C2C=CC=C3)C(=O)C1	(R)-(-)-Praziquantel
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	Azithromycin
C[C@@H](C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1	(R)-Fenoprofen
CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O	Sulbactam
C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O	Enalaprilat
CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1	Sporanox
O=C1C(CC[S@](=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1	1,2-Diphenyl-4-[2-[(S)-phenylsulfinyl]ethyl]pyrazolidine-3,5-dione
Cl.Cl.CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1	Trifluoperazine dihydrochloride
OCCC1=CC=C(OCCN2C=CN=C2)C=C1	2-{4-[2-(1H-Imidazol-1-yl)ethoxy]phenyl}ethan-1-ol
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Sucrose
CC(N)(CC1=CC=C(O)C=C1)C(O)=O	Racemetirosine
CC(=O)C1=CC(=C(SC2=C(F)C=C(F)C=C2)S1)[N+]([O-])=O	1-[5-(2,4-Difluoro-phenylsulfanyl)-4-nitro-thiophen-2-yl]-ethanone
CN1C2=C(N(CC3=NOC(C)=N3)C=N2)C(=O)N(C)C1=O	7-((5-Methyl-1,2,4-oxadiazol-3-yl)methyl)theophylline
C=CC(=O)N1CCCCC1	1-(Piperidin-1-yl)prop-2-en-1-one
CC1=CC(OC[C@@H](O)CNC(C)(C)C)=C(Cl)C=C1	Bupranolol, (S)-
OC(=O)C1=C(NCCC2=CC=CC=C2)C=CC=C1	Enfenamic acid
NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2	Riluzole
COC1=CC(OC)=C(Cl)C=C1NC(=O)NC1=NOC(C)=C1	1-(5-Chloro-2,4-dimethoxyphenyl)-3-(5-methylisoxazol-3-yl)urea
CN(C)CCOC(=O)COC1=CC=C(Cl)C=C1	Meclofenoxate
CC(C)NC[C@H](O)COC1=C(Cl)C=CC(C)=C1	(2S)-1-(2-Chloro-5-methylphenoxy)-3-(isopropylamino)propane-2-ol
ClCCC(=O)NCCC1=CC=CC=C1	Fenaclon
COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O	Iloperidone
N#CC1=CC=C(C=C1)[C@@H]1CCCC2=CN=CN12	4-[(5S)-5,6,7,8-Tetrahydroimidazo[1,5-a]pyridin-5-yl]benzonitrile
CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC=CC(Cl)=C1Cl)C(=O)OC	Clevidipine, (S)-
NS(=O)(=O)C1=C(Cl)C=C2N=CNS(=O)(=O)C2=C1	Chlorothiazide
NC1=NC2=C(C(CCC3=CC=C(C=C3)C(=O)N[C@H](CCC(O)=O)C(O)=O)=CN2)C(=O)N1	Pemetrexed acid
FC(F)OC(F)(F)[C@@H](F)Cl	(S)-Enflurane
COC(F)(F)C(Cl)Cl	Methoxyflurane
NS(=O)(=O)C1=C(Cl)C=C2N=C(CSCC3=CC=CC=C3)NS(=O)(=O)C2=C1	Benzthiazide
C[C@@H](C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	(R)-Ketoprofen
CC(C)CC1=CC=C(C=C1)[C@@H](C)C(O)=O	(R)-(-)-Ibuprofen
CC1=CC=NC2=C1NC(=O)C1=C(N=CC=C1)N2C1CC1	Nevirapine
CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O	Stavudine
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	l-Menthol
CN[C@@H](C)CC1=C(OC)C=CC=C1	Benzeneethanamine, 2-methoxy-N,alpha-dimethyl-, (alphaS)-
Br.CCSC(N)=N	S-Ethylisothiourea hydrobromide
O=C1C2=C(OC3=C1C=CC=C3)C=CC=C2	Xanthone
OC(=O)CC1=CC=C(CCNS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1	Daltroban
OB1OCC2=C1C=CC(F)=C2	Tavaborole
NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1	Emtricitabine
CC(=O)N[C@@H](CS)C(O)=O	Acetylcysteine
COC1=C(OC)C=C(CCN)C=C1	3,4-Dimethoxyphenethylamine
CC(C)[C@@H](N)C(O)=O	D-Valine
N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N	Letrozole
NC1(CC1)C(O)=O	1-Aminocyclopropanecarboxylic acid
NC1=C(N)C=NC=C1	3,4-Diaminopyridine
NCCCC[C@H](N)C(O)=O	Lysine
NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1	Amiloride
CN1C2=C(C3=C1C=CC=C3)C(=O)[C@@H](CN1C=CN=C1C)CC2	Ondansetron, (3R)-
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O	Capecitabine
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O	6-Aminopenicillanic acid
N#CC1=NC=NC=C1	Pyrimidine-4-carbonitrile
CCC1=C(O)C=CC(C)=N1	2-Ethyl-3-hydroxy-6-methylpyridine
C[C@H](CN1C=NC2=C(N)N=CN=C12)OCP(O)(O)=O	Tenofovir
NCC1=CC=CN=C1	3-(Aminomethyl)pyridine
C#CCN[C@@H]1CCC2=C1C=CC=C2	Rasagiline
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	Uridine
CC1=NC(C)=C(C)N=C1C	Tetramethylpyrazine
NC1=CC=CC2=C1CN([C@H]1CCC(=O)NC1=O)C2=O	S-Lenalidomide
CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1	Amidate
COC1=CC2=CC=CN=C2C(N[C@@H](C)CCCN)=C1	(4s)-N~4~-(6-Methoxyquinolin-8-Yl)pentane-1,4-Diamine
COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]1C[C@@H]2CCN1C[C@@H]2C=C	Quinidine
CC(=O)C(O)=O	Pyruvic acid
Cl.CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1	Duloxetine hydrochloride
COC1=CC2=C(C=C1OC)C(=O)[C@@H](CC1CCN(CC3=CC=CC=C3)CC1)C2	(S)-Donepezil
COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	Naproxen
CC[C@H](N1CCCC1=O)C(N)=O	Levetiracetam
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC1=CC=CS1)C2=O)C(O)=O	Cephalothin
CC(=O)[C@@H]1C(=O)OC(C)=CC1=O	(3S)-3-Acetyl-6-methylpyran-2,4-dione
OC(=O)C1=NN(CC2=C(Cl)C=C(Cl)C=C2)C2=C1C=CC=C2	Lonidamine
CC(C)CC1=CC=C(C=C1)[C@H](C)C(O)=O	Dexibuprofen
CC1=C(CCl)OC(=O)O1	4-(Chloromethyl)-5-methyl-1,3-dioxol-2-one
NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1	Pentamidine
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	Adenosine
CN(CCOC1=CC=C(C[C@@H]2SC(=O)NC2=O)C=C1)C1=NC=CC=C1	2,4-Thiazolidiinedione, 5-[[4-[2-(methyl-2-pyridinylamino)ethoxy]phenyl]methyl]-(9CL)
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2	D-Camphor
OCC1=CN=CC=C1	3-Pyridinemethanol
CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2	Loratadine
NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1	Lamivudine
CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1	Linezolid
CN(CC(O)=O)C(N)=N	Creatine
CCOC(=O)C1=C(O)C(=O)N(CC2=CC=CC=C2)C1	1-Benzyl-4-hydroxy-5-oxo-2,5-dihydro-1H-pyrrole-3-carboxylic acid ethyl ester
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F	Gemcitabine
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O	D(+)-Glucose
CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C	2,5-Di-tert-butylhydroquinone
CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2	Clozapine
N[C@H](CCCNC(N)=N)C(O)=O	D-Arginine
CC(C)C[C@H](NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2)C(O)=O	Fmoc-L-leucine
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12	Simvastatin
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O	Meropenem
CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCC[C@H](O)C2=N1	(S)-Paliperidone
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O	Amoxicillin
C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1	Levofloxacin
COC1=CC=C(C=C1)N1C(SCC2=NC(=NO2)C2=CC=C(C)C=C2)=NN=C1C1=CC=NC=C1	5-[[4-(4-Methoxyphenyl)-5-pyridin-4-yl-1,2,4-triazol-3-yl]sulfanylmethyl]-3-(4-methylphenyl)-1,2,4-oxadiazole
O=C1NCC2(CCN(CCC3=CC=CC=C3)CC2)O1	Fenspiride
CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N2CCCCC2)=C1)C(O)=O	Repaglinide
C[C@@H](C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1	(R)-Carprofen
OC1=CC=C(C=C1)[C@@H]1CNCCC2=C1C=C(O)C(O)=C2Cl	(5S)-9-Chloro-5-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol
ClC1=CC=C(NC(=O)C=C)C=C1	N-(4-Chlorophenyl)acrylamide
CN1CCN(CC1)C1=NC2=C(NC3=C1C=C(C)S3)C=CC=C2	Olanzapine
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO	Meprednisone
OC(=O)CCNC1=NC(=NC(=C1)N1CCC2=C(CC1)C=CC=C2)C1=NC=CC=C1	3-[[2-Pyridin-2-Yl-6-(1,2,4,5-Tetrahydro-3-Benzazepin-3-Yl)pyrimidin-4-Yl]amino]propanoic Acid
CCOC(=O)CCNC1=NC(=NC(=C1)N1CCC2=C(CC1)C=CC=C2)C1=NC=CC=C1	Ethyl 3-((6-(4,5-dihydro-1H-benzo[d]azepin-3(2H)-yl)-2-(pyridin-2-yl)pyrimidin-4-yl)amino)propanoate
CC1=CC(NC2=CC=C(NC(=O)C3=CC=C(NC4=CC=NC5=CC=CC=C45)C=C3)C=C2)=NC(N)=N1	N-(4-((2-Amino-6-methylpyrimidin-4-yl)amino)phenyl)-4-(quinolin-4-ylamino)benzamide
NC1=C2C(=NC=N1)N(N=C2C1=CC=C(OC2=CC=CC=C2)C=C1)[C@@H]1CCCN(C1)C(=O)C=C	Ibrutinib
CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O	Spectinomycin
CC1=CN=C(C=N1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	Glipizide
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1	Tolazamide
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F	Hydroflumethiazide
CCC(=C)C(=O)C1=CC=C(OCC(O)=O)C(Cl)=C1Cl	Ethacrynic acid
C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C2=C(C(N)=C1F)C(=O)C(=CN2C1CC1)C(O)=O	Sparfloxacin
N[C@@H](C(O)=O)C1=NN=NN1	(R)-2-(1H-Tetrazol-5-yl)-2-aminoethanoic acid
C[C@H](O)CO	S-1,2-Propanediol
CC(C)C1=CC=C(NC(=O)CN2C=NC3=C2C(=O)N(C)C(=O)N3C)C=C1	2-(1,3-Dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide
FCOC(C(F)(F)F)C(F)(F)F	Sevoflurane
CCCN1C2=C(NC=N2)C(=O)NC1=O	Enprofylline
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	Deoxycholic acid
OCCN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1	Perphenazine
COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1	Oxybenzone
COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O	Apixaban
NC(=N)NC1=CC=C(Cl)C=C1	1-(4-Chlorophenyl)guanidine
OC(=O)C1=C(O)C=CC=C1	Salicylic acid
OC1=C(I)C=C(I)C=C1I	2,4,6-Triiodophenol
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	Procainamide
[Cl-].C[N+](C)(C)CCO	Choline chloride
NCCC1=CNC=N1	Histamine
CCC(C)(C)O	2-Methyl-2-butanol
OC1=CC(O)=CC(O)=C1	Phloroglucinol
CCCCC[C@H](C)N	(S)-(+)-2-Aminoheptane
CC1=CC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1	Sulfamerazine
OC1=CC=C(Cl)C2=CC=CN=C12	5-Chloro-8-hydroxyquinoline
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O	Trichloroisocyanuric acid
COC(=O)C1=CC=C(O)C=C1	Methylparaben
COC(=O)C1=C(O)C=CC=C1	Methyl salicylate
CCN(CC)CC1=CC=C2C=C(COC(=O)NC3=CC=C(C=C3)C(=O)NO)C=CC2=C1	Givinostat
C[C@H](O)CN1C(C)=NC=C1[N+]([O-])=O	Secnidazole, (S)-
OC1=CC=C(OCC2=CC=CC=C2)C=C1	Monobenzone
OCCOC(=O)NCC1=CC=CC=C1	Buramate
NC1=NC2=C(N=CN2CCC(CO)CO)C(=O)N1	Penciclovir
CC1=NN=C2C=CC(=NN12)C1=CC=CC(=C1)C(F)(F)F	3-Methyl-6-[3-(trifluoromethyl)phenyl]-[1,2,4]triazolo[4,3-b]pyridazine
