PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.053 uM,Activity at 0.263 uM,Activity at 1.320 uM,Activity at 6.580 uM,Activity at 32.90 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
9,852124,654733,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000029850-01,,Activator,19.9526,92.7804,,Partial curve; high efficacy,-4.7,4.5045,0.9982,105.28,12.5,2.1,0 0 0 0,96.4106,,10.5425,14.8344,13.3007,96.4106,QC'd by DPISMR
10,855612,3308,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000028474-01,,Activator,19.9526,638.798,,Partial curve; high efficacy,-4.7,4.9549,0.9999,650.648,11.8496,2.1,0 0 0 0,602.452,,15.199,9.9734,12.3198,602.452,QC'd by Sigma Chemical Company
11,855613,4485,Active,84,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000028521-01,,Activator,1.9953,81.5774,,Complete curve; high efficacy,-5.7,4.9549,0.9449,67.7689,-13.8085,1.1,0 0 0 0,54.91,,-12.6096,-5.7218,80.929,54.91,QC'd by Sigma Chemical Company
12,855832,65327,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000028418-01,,Activator,17.7828,308.816,,Partial curve; high efficacy,-4.75,4.095,0.9981,317.615,8.7998,2.1,0 0 0 0,294.088,,0.7615,16.0742,13.8545,294.088,QC'd by Sigma Chemical Company
13,855924,5311067,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000028654-01,,Activator,10,288.652,,Partial curve; high efficacy,-5,4.5045,0.9996,291.56,2.9078,2.1,0 0 0 0,290.978,,6.2705,-0.0017,39.5563,290.978,QC'd by Sigma Chemical Company
14,856753,658111,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000071224-01,,Activator,10,78.6936,,Partial curve; partial efficacy,-5,3.9295,0.9993,80.2609,1.5673,2.2,0 0 0 0,79.7343,,0.4072,2.8822,14.5993,79.7343,QC'd by DPISMR
15,856938,2858173,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000039000-01,,Activator,22.3872,56.1434,,Partial curve; partial efficacy,-4.65,4.9549,0.9923,69.2848,13.1414,2.2,1 0 0 0,61.9831,,45.6518,15.3885,10.5693,61.9831,QC'd by InterBioScreen
16,858292,659630,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000036564-01,,Activator,14.1254,82.9211,,Partial curve; high efficacy,-4.85,2.9523,0.9259,95.6358,12.7147,2.1,0 0 0 0,89.5466,,3.8402,28.0715,19.7992,89.5466,QC'd by InterBioScreen
17,858749,660055,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000036244-01,,Activator,11.2202,84.7355,,Partial curve; high efficacy,-4.95,4.5045,0.9994,85.4337,0.6982,2.1,0 0 0 0,84.7557,,2.1842,-0.2509,7.8442,84.7557,QC'd by DPISMR
18,859076,5389246,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000036490-01,,Activator,10,85.0159,,Partial curve; partial efficacy,-5,2.8473,0.9886,78.6713,-6.3446,2.2,0 0 0 0,75.7459,,-1.6486,-11.5372,14.2336,75.7459,QC'd by InterBioScreen
19,861136,662399,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000081316-01,,Activator,2.8184,95.3685,,Partial curve; high efficacy,-5.55,3.0654,1,93.0132,-2.3552,2.1,0 0 0 1,4.0177,,-2.4575,6.5238,86.6045,4.0177,QC'd by InterBioScreen
20,864766,666007,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000042649-01,,Activator,15.8489,74.2627,,Partial curve; partial efficacy,-4.8,4.095,0.9986,79.145,4.8823,2.2,0 0 0 0,75.7167,,3.3633,6.5645,6.8054,75.7167,QC'd by InterBioScreen
21,864868,666116,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000042639-01,,Activator,11.2202,110.653,,Partial curve; high efficacy,-4.95,4.045,0.9976,111.232,0.5789,2.1,0 0 0 0,109.696,,3.3718,-2.7987,12.7895,109.696,QC'd by InterBioScreen
22,3712441,2107696,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000098805-01,,Activator,15.8489,78.8683,,Partial curve; high efficacy,-4.8,4.9549,0.9985,85.4575,6.5892,2.1,0 0 0 0,83.2862,,8.5875,5.0705,7.6856,83.2862,QC'd by DPISMR
23,3713620,2128947,Active,55,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000055840-01,,Activator,3.1623,306.518,,Partial curve; high efficacy,-5.5,3.9295,1,309.417,2.8992,2.1,0 0 0 1,-1.7834,,3.0837,12.5757,293.009,-1.7834,QC'd by DPISMR
24,3714330,2089022,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000057541-01,,Activator,15.8489,56.4801,,Partial curve; partial efficacy,-4.8,4.9549,1,61.7383,5.2582,2.2,1 0 0 0,60.2648,,49.8847,5.4296,6.0921,60.2648,QC'd by Enamine
25,3715246,2530535,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000057869-01,,Activator,22.3872,65.0167,,Partial curve; partial efficacy,-4.65,4.9549,0.9901,73.5167,8.5,2.2,0 0 0 0,65.0185,,5.6907,12.3328,7.5358,65.0185,QC'd by DPISMR
26,3715749,547914,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000055712-01,,Activator,6.3096,77.6518,,Partial curve; partial efficacy,-5.2,1.8265,0.9998,78.8039,1.1521,2.2,0 0 0 0,75.2979,,1.8185,4.8829,41.0096,75.2979,QC'd by DPISMR
27,3715852,2999375,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000054592-01,,Activator,7.0795,151.607,,Partial curve; high efficacy,-5.15,1.6604,0.9988,148.643,-2.9644,2.1,0 0 0 0,136.12,,-1.8953,3.3668,70.7998,136.12,QC'd by Enamine
28,3716164,2999499,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000055645-01,,Activator,2.8184,134.404,,Partial curve; high efficacy,-5.55,3.5722,1,131.787,-2.6167,2.1,0 0 0 1,1.3955,,-2.7148,5.7415,125.512,1.3955,QC'd by DPISMR
29,4244617,6602921,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000047716-01,,Activator,12.5893,148.654,,Partial curve; high efficacy,-4.9,3.2975,0.9909,152.393,3.739,2.1,0 0 0 0,145.97,,-5.0652,11.1602,19.9658,145.97,QC'd by Chem Div
30,4244665,3239235,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000092203-01,,Activator,17.7828,121.117,,Partial curve; high efficacy,-4.75,4.095,0.9945,124.222,3.1045,2.1,0 0 0 0,115.02,,-1.7934,8.3084,5.2179,115.02,QC'd by DPISMR
31,4245724,3240162,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000086345-01,,Activator,11.2202,85.3629,,Partial curve; high efficacy,-4.95,4.095,0.9996,81.9706,-3.3922,2.1,0 0 0 0,81.0785,,-4.4495,-2.3637,5.4264,81.0785,QC'd by Chem Div
32,4247206,2772318,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000043100-01,,Activator,22.3872,93.1827,,Partial curve; high efficacy,-4.65,4.9549,0.993,101.471,8.2878,2.1,0 0 0 0,89.4801,,5.2355,13.0715,6.8575,89.4801,QC'd by Chem Div
33,4247272,3241501,Active,50,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000093295-01,,Activator,2.5119,200.026,,Partial curve; high efficacy,-5.6,1.2876,1,188.08,-11.9454,2.1,0 0 0 1,-3.5989,,-1.5164,49.2484,143.136,-3.5989,QC'd by DPISMR
34,4249033,3243038,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000094957-01,,Activator,12.5893,128.402,,Partial curve; high efficacy,-4.9,4.9549,0.9986,130.514,2.1123,2.1,0 0 0 0,129.478,,4.8545,-0.9571,6.8929,129.478,QC'd by Chem Div
35,4249211,3243195,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000090857-01,,Activator,10,74.5653,,Partial curve; partial efficacy,-5,3.99,1,78.8758,4.3105,2.2,1 0 0 0,78.1953,,23.8885,4.4045,16.1519,78.1953,QC'd by DPISMR
36,4249472,3243420,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000045146-01,,Activator,19.9526,55.41,,Partial curve; partial efficacy,-4.7,4.9549,0.9822,64.91,9.5,2.2,0 0 0 0,60.6072,,13.9225,8.8437,5.8007,60.6072,QC'd by DPISMR
37,4250260,3244099,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000047769-01,,Activator,10,83.9836,,Partial curve; partial efficacy,-5,1.9887,1,76.5227,-7.4609,2.2,0 0 0,69.2944,,,-6.1781,18.2129,69.2944,QC'd by Chem Div
38,4250288,3244122,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000090180-01,,Activator,14.1254,82.355,,Partial curve; high efficacy,-4.85,2.9523,0.9665,88.0576,5.7025,2.1,0 0 0 0,81.7306,,-2.0188,14.7372,12.9979,81.7306,QC'd by Chem Div
39,4254540,1243581,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000065545-01,,Activator,15.8489,65.4347,,Partial curve; partial efficacy,-4.8,4.095,0.9823,70.7078,5.2731,2.2,0 0 0 0,67.4531,,10.321,0.1845,6.9229,67.4531,QC'd by DPISMR
40,4255058,752743,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000049496-01,,Activator,10,64.2038,,Partial curve; partial efficacy,-5,4.9549,0.9996,64.3373,0.1335,2.2,0 0 0 0,64.2637,,-0.3385,0.9978,7.6339,64.2637,QC'd by DPISMR
41,4255102,167520,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000060882-01,,Activator,12.5893,399.224,,Partial curve; high efficacy,-4.9,4.9549,0.9998,417.204,17.9803,2.1,0 0 0 0,413.893,,21.1233,14.3313,32.8053,413.893,QC'd by ChemBridge
42,4259060,892424,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000062473-01,,Activator,3.5481,92.9451,,Partial curve; high efficacy,-5.45,2.6384,1,96.0721,3.127,2.1,0 0 0 1,6.9936,,3.3442,9.66,80.8043,6.9936,QC'd by DPISMR
43,4262086,2215524,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000050604-01,,Activator,22.3872,64.6057,,Partial curve; partial efficacy,-4.65,4.9549,0.9746,76.1057,11.5,2.2,0 0 0 0,67.8953,,6.8889,17.7003,10.0985,67.8953,QC'd by DPISMR
44,7966215,1088156,Active,50,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000115312-01,,Activator,3.5481,216.428,,Partial curve; high efficacy,-5.45,4.5045,1,219.489,3.061,2.1,0 0 0 1,4.0163,,2.6109,5.1404,206.675,4.0163,QC'd by Chem Div
45,7967869,5309085,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000117139-01,,Activator,19.9526,167.158,,Partial curve; high efficacy,-4.7,4.9549,0.9061,183.195,16.0371,2.1,0 0 0 0,170.573,,0.8176,51.8468,-0.9275,170.573,QC'd by Chem Div
46,7967987,5309154,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000118392-01,,Activator,4.4668,83.3461,,Partial curve; high efficacy,-5.35,4.9549,0.9957,92.3461,9,2.1,0 0 0 1,-3.2433,,11.9458,6.6968,81.4956,-3.2433,QC'd by Chem Div
47,7970606,4132226,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000101500-01,,Activator,12.5893,100.88,,Partial curve; high efficacy,-4.9,4.095,0.9971,100.327,-0.5532,2.1,0 0 0 0,98.3601,,2.5735,-3.8687,6.1408,98.3601,QC'd by Life Chemicals
48,7970949,2149958,Active,50,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000103717-01,,Activator,1.7783,188.011,,Partial curve; high efficacy,-5.75,1.8617,0.9999,161.806,-26.205,2.1,0 0 0 1,10.082,,-21.8375,41.7217,147.364,10.082,QC'd by Life Chemicals
49,7972121,1011052,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000110507-01,,Activator,11.2202,97.9135,,Partial curve; high efficacy,-4.95,2.9523,0.9999,96.572,-1.3414,2.1,0 0 0 0,92.502,,-0.6644,-1.6086,15.5886,92.502,QC'd by ChemBridge
50,7972274,3116427,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000107859-01,,Activator,12.5893,83.3404,,Partial curve; high efficacy,-4.9,4.095,0.9999,84.6406,1.3002,2.1,0 0 0 0,82.934,,0.936,0.9799,7.018,82.934,QC'd by DPISMR
51,7972915,135403077,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000104302-01,,Activator,12.5893,60.6708,,Partial curve; partial efficacy,-4.9,2.9523,0.9928,64.6812,4.0104,2.2,0 0 0 0,61.3125,,1.4167,7.1992,11.5527,61.3125,QC'd by ChemBridge
52,7973209,2295169,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000112091-01,,Activator,19.9526,116.869,,Partial curve; high efficacy,-4.7,4.095,0.999,123.196,6.3267,2.1,0 0 0 0,109.8,,4.3555,8.397,7.6164,109.8,QC'd by DPISMR
53,7973246,2896277,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000110062-01,,Activator,4.4668,98.1991,,Partial curve; high efficacy,-5.35,4.9549,0.9988,110.547,12.3475,2.1,0 0 0 1,4.6341,,14.2542,11.0528,98.0023,4.6341,QC'd by DPISMR
54,7974524,404503,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000107183-01,,Activator,22.3872,59.0638,,Partial curve; partial efficacy,-4.65,4.9549,0.997,72.354,13.2902,2.2,0 0 0 0,64.8378,,13.2606,15.2424,11.936,64.8378,QC'd by DPISMR
55,7975361,623689,Active,51,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000105137-01,,Activator,4.4668,244.35,,Partial curve; high efficacy,-5.35,3.99,0.9999,249.405,5.0551,2.1,0 0 0 1,10.7096,,5.6322,6.3449,207.837,10.7096,QC'd by ChemBridge
56,7975456,135412130,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000108737-01,,Activator,15.8489,238.19,,Partial curve; high efficacy,-4.8,4.095,0.9996,239.27,1.0802,2.1,0 0 0 0,227.877,,3.0002,-1.973,6.8817,227.877,QC'd by ChemBridge
57,7976120,798232,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000112495-01,,Activator,8.9125,58.1755,,Partial curve; partial efficacy,-5.05,1.7885,0.9995,65.783,7.6075,2.2,0 0 0 0,60.5715,,8.4214,8.8862,29.3427,60.5715,QC'd by DPISMR
58,7976285,1965859,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000105541-01,,Activator,11.2202,77.6782,,Partial curve; partial efficacy,-4.95,3.6772,0.9999,79.0016,1.3234,2.2,0 0 0 0,77.7795,,1.6644,1.0131,10.9714,77.7795,QC'd by ChemBridge
59,7977569,1238236,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000108458-01,,Activator,22.3872,78.6881,,Partial curve; partial efficacy,-4.65,4.9549,0.9795,89.1881,10.5,2.2,0 0 0 0,79.0979,,6.212,17.4114,7.9234,79.0979,QC'd by ChemBridge
60,7977814,2916405,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000112532-01,,Activator,22.3872,70.8599,,Partial curve; partial efficacy,-4.65,4.9549,0.9985,81.5199,10.66,2.2,0 0 0 0,72.2443,,11.9999,9.0446,10.8539,72.2443,QC'd by DPISMR
61,7978456,2872121,Active,64,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000109349-01,,Activator,2.2387,74.5839,,Complete curve; partial efficacy,-5.65,3.9295,0.9963,76.9728,2.3889,1.2,0 0 0 0,73.9596,,2.7477,9.9571,78.8587,73.9596,QC'd by DPISMR
62,8139882,5281855,Active,100,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000069632-01,,Activator,1.4125,505.11,,Complete curve; high efficacy,-5.85,2.3332,0.9779,485.189,-19.9206,1.1,0 0 0 0,442.07,,-7.8847,207.661,515.063,442.07,QC'd by Sigma Chemical Company
63,8139894,227456,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000028630-01,,Activator,2.2387,68.3949,,Partial curve; high efficacy,-5.65,1.4781,1,92.727,24.3321,2.1,0 0 0 1,1.597,,27.0336,46.0384,81.1049,1.597,QC'd by Sigma Chemical Company
64,8139932,3503,Active,50,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000028490-01,,Activator,10,383.723,,Partial curve; high efficacy,-5,4.045,1,383.13,-0.5932,2.1,1 0 0 0,380.089,,35.0943,-0.4943,59.7847,380.089,QC'd by Sigma Chemical Company
65,14718740,5870463,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000548185-01,,Activator,10,60.8623,,Partial curve; partial efficacy,-5,3.99,0.9998,64.8154,3.9531,2.2,0 0 0 0,64.2394,,3.3018,4.2599,13.356,64.2394,QC'd by Specs
66,14719075,9549130,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000594585-01,,Activator,12.5893,163.64,,Partial curve; high efficacy,-4.9,4.095,0.9985,160.749,-2.8909,2.1,0 0 0 0,157.597,,1.5115,-5.8135,7.4969,157.597,QC'd by Specs
67,14719157,11834505,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000548226-01,,Activator,12.5893,206.607,,Partial curve; high efficacy,-4.9,1.8579,0.9999,208.379,1.7724,2.1,0 0 0 0,179.02,,1.7848,5.6496,48.5132,179.02,QC'd by Specs
68,14719358,791713,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000392015-01,,Activator,14.1254,358.896,,Partial curve; high efficacy,-4.85,4.095,1,362.386,3.4895,2.1,1 0 0 0,351.149,,21.4398,2.2035,18.4825,351.149,QC'd by ChemBridge
69,14720783,3168140,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000523364-01,,Activator,12.5893,175.713,,Partial curve; high efficacy,-4.9,4.5045,0.9999,178.33,2.6173,2.1,0 0 0 0,175.868,,1.3831,3.6537,11.1959,175.868,QC'd by DPISMR
70,14721179,3138330,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000121250-01,,Activator,15.8489,150.577,,Partial curve; high efficacy,-4.8,4.095,0.992,156.954,6.3779,2.1,0 0 0 0,149.48,,14.0179,-1.6101,10.139,149.48,QC'd by Asinex Ltd.
71,14721186,2897814,Active,49,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000121257-01,,Activator,15.8489,598.797,,Partial curve; high efficacy,-4.8,4.9549,0.9999,604.653,5.8558,2.1,0 0 0 0,589.33,,10.1997,3.7467,14.4662,589.33,QC'd by Asinex Ltd.
72,14722446,6202153,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000122900-01,,Activator,10,102.905,,Partial curve; high efficacy,-5,4.9549,0.9946,98.4624,-4.4429,2.1,0 0 0 0,98.2658,,-9.0692,-0.1181,6.919,98.2658,QC'd by Asinex Ltd.
73,14722492,3215957,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000122970-01,,Activator,22.3872,126.38,,Partial curve; high efficacy,-4.65,4.9549,0.9698,133.103,6.7236,2.1,0 0 0 0,116.757,,19.1545,-4.502,6.0969,116.757,QC'd by DPISMR
74,14722760,1453278,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000123339-01,,Activator,3.5481,105.985,,Partial curve; high efficacy,-5.45,2.1876,1,108.145,2.1607,2.1,0 0 0 1,-6.9466,,2.847,12.8319,86.2405,-6.9466,QC'd by Asinex Ltd.
75,14723021,1090308,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000123689-01,,Activator,11.2202,265.08,,Partial curve; high efficacy,-4.95,1.5936,1,271.57,6.4894,2.1,0 0 0,230.927,,,14.6149,86.0702,230.927,QC'd by Asinex Ltd.
76,14724191,9556767,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000525462-01,,Activator,14.1254,67.4575,,Partial curve; partial efficacy,-4.85,4.095,0.9789,71.7401,4.2827,2.2,0 0 0 0,69.7113,,9.8844,-1.7278,7.1507,69.7113,QC'd by Asinex Ltd.
77,14724388,1132911,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000525668-01,,Activator,17.7828,655.213,,Partial curve; high efficacy,-4.75,4.095,0.9998,654.762,-0.4511,2.1,0 0 0 0,606.261,,3.5039,-5.4737,9.6221,606.261,QC'd by Asinex Ltd.
78,14724410,777819,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000525820-01,,Activator,14.1254,271.668,,Partial curve; high efficacy,-4.85,4.095,0.9995,270.308,-1.3609,2.1,0 0 0 0,261.926,,2.4965,-4.464,10.9633,261.926,QC'd by Asinex Ltd.
79,14724901,9554433,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000526436-01,,Activator,11.2202,69.0467,,Partial curve; partial efficacy,-4.95,4.5045,1,70.1698,1.1232,2.2,0 0 0 0,69.6332,,0.8648,1.218,6.5675,69.6332,QC'd by DPISMR
80,14725173,3110124,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000526803-01,,Activator,12.5893,159.325,,Partial curve; high efficacy,-4.9,4.9549,0.9972,163.017,3.6912,2.1,0 0 0 0,161.723,,-0.9918,9.0922,9.9916,161.723,QC'd by Asinex Ltd.
